coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
629353,A     ,I     ,29,0,1,1,1,1,1,0,0.693147181,1,0
629378,A     ,I     ,28,0,1,4,3,0.428571429,0.428571429,0,0,0,0
629421,I     ,I     ,39,0,0,5,5,0.833333333,0.714285714,0,0,1,0
629585,I     ,I     ,0,0,0,2,2,1,0.666666667,0,0,0,0
629628,I     ,I     ,0,0,0,5,5,0.833333333,0.714285714,0,0,0,0
629903,A     ,S     ,28,0,1,7,6,0.857142857,0.857142857,0,0,0,0
630013,I     ,I     ,0,0,0,2,2,0.666666667,0.4,0,0,1,0
630422,I     ,I     ,0,0,0,2,2,1,0.5,0,0,1,0
630822,A     ,I     ,27,0,1,1,1,1,1,0,0,0,0
631074,A     ,I     ,28,0,1,2,1,1,0.25,0,0,0,0
631094,A     ,I     ,46,0,2,2,2,1,1,0,0,0,0
631220,A     ,I     ,29,0,1,2,2,0.333333333,0.333333333,0,1.791759469,1,0
631318,A     ,I     ,30,0,1,1,1,1,1,0,2.079441542,0,0
631321,A     ,I     ,29,0,1,7,6,1,1,0,0,0,0
631340,A     ,S     ,28,0,1,13,5,0.833333333,0.833333333,0,3.850147602,0,0
631556,A     ,I     ,27,0,1,1,1,1,0.5,0,0,0,0
631600,A     ,I     ,27,0,1,1,1,1,0.5,0,0.693147181,1,0
631635,A     ,I     ,33,0,1,1,1,1,0.333333333,0,0,0,0
631654,A     ,I     ,38,0,1,2,2,0.4,0.333333333,0,0,1,0
631716,A     ,I     ,27,0,1,2,2,0.666666667,0.5,0,0,0,0
631779,A     ,I     ,28,0,1,1,1,1,0.5,0,0,0,0
631929,A     ,I     ,28,0,2,1,1,1,1,0,0,1,0
632756,P     ,I     ,0,0,0,3,3,0.6,0.5,2,0,1,0
633111,P     ,I     ,0,0,0,5,5,1,0.833333333,1,0,1,0
633132,P     ,I     ,0,0,0,1,1,1,0.333333333,1,0,1,0
633178,P     ,I     ,0,0,0,1,1,1,0.25,1,0,0,0
633222,P     ,I     ,0,0,0,2,2,0.666666667,0.4,1,0,1,0
633262,P     ,I     ,0,0,0,1,1,1,1,2,0,0,0
633441,P     ,I     ,0,0,0,1,1,1,0.5,1,0,1,0
633611,P     ,I     ,0,0,0,1,1,1,0.333333333,1,0,1,0
633667,P     ,I     ,0,0,0,1,1,1,0.25,1,0,1,0
633718,P     ,I     ,0,0,0,2,2,1,0.4,1,0,1,0
633726,P     ,I     ,0,0,0,1,1,1,0.333333333,2,0,1,0
633927,P     ,I     ,0,0,0,3,3,0.6,0.5,1,0.693147181,1,0
634143,P     ,I     ,0,0,0,1,1,1,0.333333333,1,0,1,0
634328,P     ,I     ,0,0,0,3,3,1,0.6,1,0,0,0
634369,P     ,I     ,0,0,0,1,1,1,0.5,2,0,1,0
634443,P     ,I     ,0,0,0,1,1,1,0.25,1,0,0,0
634467,P     ,I     ,0,0,0,3,3,1,0.5,1,0,1,0
634791,P     ,I     ,0,0,0,1,1,1,0.25,2,0,0,0
634806,P     ,I     ,0,0,0,2,2,1,0.5,2,0,1,0
