"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
83894,15,15,1984,2014,31,0,0,0,0,3,0,0,1975,2,3,24,8,-1,-1,-1,1,1,1636,3,1,1,2,3,34,1,30,2,368,180540,750,1
83910,36,33,1982,2014,33,15,0.416667,0,0,0,0,0,1976,33,4,25,8,-1,-1,-1,2,1,6315,4,1,1,1,1,1,2,117,2,157,76550,35,1
83949,18,14,2000,2014,15,16,0.888889,0,0,3,0,0,1973,15,4,26,8,-1,-1,-1,1,1,6863,1,1,2,1,1,6,2,253,1,634,70507,300,1
83981,2,2,1989,1996,8,0,0,0,0,0,0,0,1971,0,3,11,8,-1,-1,-1,1,1,939,1,1,1,1,1,7,1,68,1,398,53249,50,0
83982,8,8,1993,2013,21,7,0.875,0,0,0,0,0,1971,2,3,12,8,-1,-1,-1,1,1,12888,2,1,1,2,2,15,2,352,1,883,55297,25,0
83992,2,2,2013,2014,2,0,0,0,0,0,0,0,1978,2,4,4,8,-1,-1,-1,1,1,5087,4,1,1,2,3,4,1,14,2,871,70507,500,1
84013,7,7,2003,2014,12,6,0.857143,0,0,0,0,0,1968,0,4,14,8,-1,-1,-1,1,1,3455,6,1,1,2,3,95,1,85,2,554,42926,100,0
84033,25,19,1992,2014,23,10,0.4,0,0,11,2,0,1967,11,3,20,8,-1,-1,-1,1,1,1839,4,1,1,1,1,2,2,29,2,390,57859,100,1
84041,45,23,1982,2010,29,6,0.133333,1,0.0222222,6,0,0,1976,3,4,2,8,-1,-1,-1,1,1,-1,11,3,2,1,1,0,5,0,3,-1,39038,5700,1
84057,21,12,1984,2014,31,0,0,0,0,0,0,0,1968,0,3,15,8,1946,10,11,1,1,19495,3,1,1,2,2,4,1,270,1,957,86042,1500,0
84059,11,11,1992,2014,23,9,0.818182,0,0,1,0,0,1973,2,4,16,8,-1,-1,-1,6,1,6602,6,1,1,2,3,26,2,178,1,22,83560,150,1
84082,4,4,1987,2014,28,1,0.25,0,0,0,0,1,1967,0,4,15,8,-1,-1,-1,1,1,8,7,1,1,2,3,18,1,305,2,81,97872,2500,0
84083,34,32,1983,2014,32,16,0.470588,0,0,4,1,0,1972,32,3,27,8,1932,7,23,1,1,275,3,1,1,1,1,0,3,0,3,-1,60795,7500,1
84105,33,24,1989,2014,26,18,0.545455,0,0,0,0,0,1968,12,3,3,8,-1,-1,-1,1,1,7077,1,1,1,1,1,7,2,58,2,777,70507,350,1
84107,4,4,1992,2014,23,2,0.5,0,0,1,0,0,1986,0,7,28,2,1946,9,16,6,1,741,3,1,1,1,1,28,1,72,1,418,32110,100,0
84119,1,1,2013,2013,1,0,0,0,0,4,0,0,1974,2,3,4,8,-1,-1,-1,1,1,130,4,1,1,1,1,4,1,205,1,305,64712,250,0
84147,22,18,1983,2014,32,13,0.590909,0,0,6,0,0,1970,9,3,26,8,-1,-1,-1,1,2,9750,4,4,1,1,1,23,2,1,2,404,73608,200,1
84153,32,25,1985,2014,30,7,0.21875,0,0,11,0,0,1970,19,4,17,8,-1,-1,-1,1,1,4266,4,1,1,1,1,5,2,358,1,662,70507,1000,1
84154,46,22,-1,2014,2015,8,0.173913,1,0.0217391,44,0,0,1967,21,3,12,8,1945,7,30,1,1,5664,2,1,1,1,1,2,2,190,2,643,56798,28750,1
84160,15,15,1993,2014,22,8,0.533333,0,0,1,0,0,1969,5,3,26,8,-1,-1,-1,1,1,1110,4,2,1,2,2,1,1,195,2,29,65663,100,1
84165,20,17,1993,2014,22,10,0.5,0,0,0,0,0,1971,7,4,12,8,1949,6,9,1,1,528,4,1,1,2,2,12,2,16,2,284,48972,125,0
84167,1,1,2014,2014,1,0,0,0,0,0,0,0,1968,0,3,3,8,-1,-1,-1,5,1,268,6,1,1,1,1,2,2,58,1,687,51854,30,0
84205,24,22,1984,2014,31,8,0.333333,0,0,0,0,0,1974,10,6,9,7,1951,3,29,1,1,38157,3,1,1,2,3,84,1,30,2,575,45573,100,1
84210,16,16,1991,2014,24,9,0.5625,0,0,0,0,0,1968,0,3,12,8,-1,-1,-1,1,1,7098,4,1,2,1,1,7,2,237,2,980,53356,780,1
84212,15,14,1990,2014,25,9,0.6,0,0,0,0,0,1970,3,4,19,8,-1,-1,-1,1,1,5148,3,1,1,2,2,10,1,35,2,483,20386,100,0
84230,11,9,2000,2014,15,9,0.818182,0,0,0,0,0,1969,7,3,29,8,-1,-1,-1,2,1,261,1,1,1,1,1,8,2,127,1,617,118761,200,1
84243,28,24,1989,2014,26,13,0.464286,0,0,0,0,0,1973,6,3,27,8,1951,3,26,1,1,1565,12,1,1,2,2,2,2,121,2,652,66161,2775.96,1
84285,17,15,1990,2014,25,8,0.470588,0,0,0,0,1,1972,3,3,3,8,-1,-1,-1,1,3,3017,4,1,2,1,1,0,3,0,3,-1,40827,60,1
84326,23,19,1990,2014,25,0,0,0,0,0,0,1,1967,3,3,12,8,-1,-1,-1,1,1,711,4,1,1,1,1,2,1,90,2,110,42731,30,0
84338,11,9,2006,2014,9,11,1,0,0,0,0,0,1970,9,4,30,8,-1,-1,-1,4,1,259,2,1,1,1,1,53,2,67,2,599,58814,200,1
84340,14,14,1990,2014,25,9,0.642857,0,0,0,0,0,1972,0,4,22,8,-1,-1,-1,1,3,1899,7,1,1,2,2,4,2,258,2,998,43119,100,1
84343,26,17,1993,2014,22,3,0.115385,0,0,0,0,0,1974,2,3,3,8,-1,-1,-1,1,1,4747,4,1,1,1,1,7,2,422,1,472,40852,100,0
84355,43,26,1985,2014,30,4,0.0930233,0,0,30,0,0,1978,25,2,28,8,-1,-1,-1,3,1,1875,4,1,1,1,1,99,1,35,2,753,67412,1000,1
84390,6,5,1985,2014,30,2,0.333333,0,0,2,0,0,1976,0,4,4,8,-1,-1,-1,1,1,1785,4,1,1,2,2,39,1,150,1,850,104325,25,0
84393,50,28,1982,2014,33,17,0.34,2,0.04,5,0,0,1976,14,4,7,8,-1,-1,-1,1,1,1800,6,1,1,2,2,20,2,256,2,8,55374,100,1
84395,6,6,1994,2014,21,4,0.666667,0,0,0,0,0,1971,5,4,11,8,-1,-1,-1,1,1,3771,6,1,2,1,1,42,1,292,1,711,42926,50,1
