core_id,method,age,type1,stype1,type2,phone,email,mail,assigned,no_contact,no_phone,no_email,no_mail,no_personal,no_ask,geo_dist,e_sols,m_sols,p_sols
6799,Staff,0,comf  ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,2,0
6925,Online Giving,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
6925,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
7018,Online Giving,52,S     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,2,0,0
7056,Lockbox,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,1,1
7153,Lockbox,0,I     ,N     ,2,1,1,1,1,0,0,0,0,0,0,2,1,0,1
7278,Lockbox,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
7518,Lockbox,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,1,1,0
7699,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
7750,Lockbox,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,2,1,0,1
7750,Staff,0,I     ,N     ,2,0,1,1,0,0,0,0,0,0,0,2,1,0,1
7973,Staff,0,F     ,N     ,5,0,0,1,1,0,0,0,1,0,0,2,0,0,0
8043,Online Giving,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
8060,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
8262,Staff,0,cf    ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
8343,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
8465,Staff,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
8559,Lockbox,0,I     ,N     ,3,1,0,1,0,0,0,0,0,0,0,2,0,1,0
8814,Staff,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,1,0
9123,Lockbox,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0
9125,Staff,0,cf    ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
9148,Staff,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1
9174,Lockbox,0,I     ,N     ,2,1,0,1,0,0,0,0,0,0,0,2,0,1,1
9306,Staff,0,F     ,N     ,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0
9389,Lockbox,0,F     ,N     ,5,0,1,1,0,0,0,0,0,0,0,2,1,0,0
9453,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
9456,Staff,0,comf  ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,3,0
9642,Staff,63,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
9716,Staff,78,I     ,N     ,3,1,1,1,0,0,0,1,0,0,0,2,1,1,1
9806,Lockbox,0,comf  ,N     ,5,0,0,1,0,0,0,0,0,0,0,3,0,1,0
10046,Online Giving,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
10258,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
10315,Staff,0,comf  ,N     ,5,0,0,1,1,0,0,0,0,0,0,2,0,1,0
10325,Staff,0,C     ,N     ,4,0,1,1,1,0,0,0,0,0,0,2,0,0,0
10325,Lockbox,0,C     ,N     ,4,0,1,1,1,0,0,0,0,0,0,2,0,0,0
10332,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
10336,Staff,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,1,0,0
10622,Staff,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
11112,Staff,0,I     ,N     ,6,1,0,1,0,0,0,0,0,0,0,2,0,0,0
12325,Online Giving,0,I     ,N     ,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0
12636,Staff,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
13421,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
13531,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0
14131,Lockbox,0,I     ,N     ,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0
16207,Staff,74,I     ,N     ,3,1,1,1,1,0,0,0,0,0,0,2,1,1,1
16432,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
16757,Lockbox,83,I     ,I     ,1,1,1,1,1,0,0,0,0,0,0,2,0,3,1
17284,Staff,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,1,1,0
17489,Staff,73,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0
18782,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
18810,Staff,0,O     ,N     ,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0
19715,Lockbox,0,I     ,N     ,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1
20443,Lockbox,0,I     ,N     ,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0
21090,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,2,0
21094,Staff,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
21150,Staff,0,C     ,N     ,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
21246,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,1,0
21272,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
21310,Staff,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,1,0,0
21908,Staff,0,gv    ,N     ,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0
22073,Lockbox,0,I     ,I     ,1,1,1,1,0,0,0,0,0,0,0,2,1,0,1
22241,Staff,0,O     ,N     ,4,0,0,1,0,0,0,0,0,0,1,2,0,0,0
22339,Online Giving,0,C     ,N     ,4,0,1,1,0,0,0,0,0,0,0,2,0,1,0
22568,Staff,0,C     ,N     ,4,0,0,1,1,0,0,0,0,0,0,2,0,0,0
